Dist,First,Last,Party,2023 PVI,2023 Raw PVI,Rank
MA-08@@197,Stephen,Lynch,D,D+15@@89,D+15.25,89
MA-09@@198,Bill,Keating,D,D+6@@156,D+6.29,156
MI-01@@199,Jack,Bergman,R,R+13@@320,R+12.59,320
MI-02@@200,John,Moolenaar,R,R+16@@367,R+16.48,367
MI-03@@201,Hillary,Scholten,D,D+1@@203,D+1.28,203
MI-04@@202,Bill,Huizenga,R,R+5@@244,R+4.74,244
MI-05@@203,Tim,Walberg,R,R+15@@345,R+14.56,345
MI-06@@204,Debbie,Dingell,D,D+11@@124,D+10.89,124
MI-07@@205,Elissa,Slotkin,D,R+2@@226,R+2.12,226
MI-08@@206,Dan,Kildee,D,R+1@@218,R+1.07,218
MI-09@@207,Lisa,McClain,R,R+18@@374,R+17.54,374
MI-10@@208,John,James,R,R+3@@231,R+3.05,231
MI-11@@209,Haley,Stevens,D,D+7@@148,D+7.38,148
MI-12@@210,Rashida,Tlaib,D,D+23@@51,D+22.54,51
MI-13@@211,Shri,Thanedar,D,D+23@@45,D+23.47,45
MN-01@@212,Brad,Finstad,R,R+7@@265,R+7.41,265
MN-02@@213,Angie,Craig,D,D+1@@208,D+0.61,208
MN-03@@214,Dean,Phillips,D,D+8@@144,D+7.54,144
MN-04@@215,Betty,McCollum,D,D+17@@84,D+16.61,84
MN-05@@216,Ilhan,Omar,D,D+30@@20,D+29.73,20
MN-06@@217,Tom,Emmer,R,R+12@@311,R+11.99,311
MN-07@@218,Michelle,Fischbach,R,R+19@@390,R+19.26,390
MN-08@@219,Pete,Stauber,R,R+8@@273,R+8.04,273
MS-01@@220,Trent,Kelly,R,R+18@@383,R+18.35,383
MS-02@@221,Bennie,Thompson,D,D+11@@121,D+11.19,121
MS-03@@222,Michael,Guest,R,R+15@@347,R+14.74,347
MS-04@@223,Mike,Ezell,R,R+22@@407,R+21.74,407
MO-01@@224,Cori,Bush,D,D+27@@27,D+27.32,27
MO-02@@225,Ann,Wagner,R,R+7@@263,R+7.1,263
MO-03@@226,Blaine,Luetkemeyer,R,R+16@@358,R+16.03,358
MO-04@@227,Mark,Alford,R,R+23@@415,R+22.62,415
MO-05@@228,Emanuel,Cleaver,D,D+11@@125,D+10.78,125
MO-06@@229,Sam,Graves,R,R+21@@403,R+21.19,403
MO-07@@230,Eric,Burlison,R,R+24@@420,R+23.76,420
MO-08@@231,Jason,Smith,R,R+28@@430,R+28.11,430
MT-01@@232,Ryan,Zinke,R,R+6@@255,R+6.23,255
MT-02@@233,Matt,Rosendale,R,R+16@@362,R+16.3,362
NE-01@@234,Mike,Flood,R,R+9@@280,R+8.67,280
NE-02@@235,Don,Bacon,R,EVEN@@210,D+0.17,210
NE-03@@236,Adrian,Smith,R,R+29@@431,R+28.89,431
NV-01@@237,Dina,Titus,D,D+3@@190,D+2.61,190
NV-02@@238,Mark,Amodei,R,R+8@@274,R+8.05,274
NV-03@@239,Susie,Lee,D,D+1@@201,D+1.46,201
NV-04@@240,Steven,Horsford,D,D+3@@191,D+2.59,191
NH-01@@241,Chris,Pappas,D,EVEN@@212,D+0.06,212
NH-02@@242,Annie,Kuster,D,D+2@@200,D+1.71,200
NJ-01@@243,Donald,Norcross,D,D+10@@126,D+10.32,126
NJ-02@@244,Jeff,Van Drew,R,R+5@@245,R+4.81,245
NJ-03@@245,Andy,Kim,D,D+5@@168,D+4.61,168
NJ-04@@246,Chris,Smith,R,R+14@@339,R+14.13,339
NJ-05@@247,Josh,Gottheimer,D,D+4@@177,D+3.72,177
NJ-06@@248,Frank,Pallone,D,D+8@@142,D+7.95,142
NJ-07@@249,Tom,Kean,R,R+1@@219,R+1.33,219
NJ-08@@250,Robert,Menendez,D,D+22@@56,D+21.95,56
NJ-09@@251,Bill,Pascrell,D,D+8@@138,D+8.31,138
NJ-10@@252,Donald,Payne,D,D+30@@19,D+30.01,19
NJ-11@@253,Mikie,Sherrill,D,D+6@@160,D+5.8,160
NJ-12@@254,Bonnie,Watson Coleman,D,D+12@@113,D+12.09,113
NM-01@@255,Melanie,Stansbury,D,D+5@@167,D+4.7,167
NM-02@@256,Gabe,Vasquez,D,D+1@@205,D+1.12,205
NM-03@@257,Teresa,Leger Fernandez,D,D+4@@178,D+3.59,178
NY-01@@258,Nick,LaLota,R,R+3@@230,R+2.93,230
NY-02@@259,Andrew,Garbarino,R,R+3@@235,R+3.4,235
NY-03@@260,George,Santos,R,D+2@@198,D+1.78,198
NY-04@@261,Anthony,D'Esposito,R,D+5@@163,D+5.09,163
NY-05@@262,Gregory,Meeks,D,D+30@@17,D+30.42,17
NY-06@@263,Grace,Meng,D,D+15@@95,D+14.73,95
NY-07@@264,Nydia,Velazquez,D,D+31@@16,D+31.1,16
NY-08@@265,Hakeem,Jeffries,D,D+26@@32,D+25.83,32
NY-09@@266,Yvette,Clarke,D,D+25@@36,D+25.11,36
NY-10@@267,Daniel,Goldman,D,D+35@@11,D+34.69,11
NY-11@@268,Nicole,Malliotakis,R,R+6@@252,R+5.89,252
NY-12@@269,Jerry,Nadler,D,D+34@@12,D+34.23,12
NY-13@@270,Adriano,Espaillat,D,D+38@@4,D+38.29,4
NY-14@@271,Alexandria,Ocasio-Cortez,D,D+28@@23,D+27.94,23
NY-15@@272,Ritchie,Torres,D,D+35@@10,D+34.85,10
NY-16@@273,Jamaal,Bowman,D,D+20@@64,D+20.14,64
NY-17@@274,Mike,Lawler,R,D+3@@186,D+2.88,186
NY-18@@275,Pat,Ryan,D,D+1@@202,D+1.31,202
NY-19@@276,Marc,Molinaro,R,EVEN@@214,R+0.43,214
NY-20@@277,Paul,Tonko,D,D+7@@152,D+6.94,152
NY-21@@278,Elise,Stefanik,R,R+9@@282,R+8.82,282
NY-22@@279,Brandon,Williams,R,D+1@@204,D+1.15,204
NY-23@@280,Nick,Langworthy,R,R+12@@310,R+11.75,310
NY-24@@281,Claudia,Tenney,R,R+11@@307,R+11.45,307
NY-25@@282,Joe,Morelle,D,D+7@@146,D+7.39,146
NY-26@@283,Brian,Higgins,D,D+9@@131,D+9.02,131
NC-01@@284,Don,Davis,D,D+2@@194,D+2.05,194
NC-02@@285,Deborah,Ross,D,D+12@@115,D+11.89,115
NC-03@@286,Greg,Murphy,R,R+15@@350,R+14.99,350
NC-04@@287,Valerie,Foushee,D,D+16@@85,D+15.76,85
NC-05@@288,Virginia,Foxx,R,R+13@@324,R+13,324
NC-06@@289,Kathy,Manning,D,D+4@@171,D+4.08,171
NC-07@@290,David,Rouzer,R,R+8@@277,R+8.49,277
NC-08@@291,Dan,Bishop,R,R+20@@396,R+19.63,396
NC-09@@292,Richard,Hudson,R,R+6@@254,R+6.08,254
NC-10@@293,Patrick,McHenry,R,R+22@@411,R+22.16,411
NC-11@@294,Chuck,Edwards,R,R+8@@270,R+7.83,270
NC-12@@295,Alma,Adams,D,D+13@@110,D+12.7,110
NC-13@@296,Wiley,Nickel,D,R+2@@221,R+1.64,221
NC-14@@297,Jeff,Jackson,D,D+6@@161,D+5.54,161
ND-AL@@298,Kelly,Armstrong,R,R+20@@397,R+19.85,397
OH-01@@299,Greg,Landsman,D,D+2@@199,D+1.75,199
OH-02@@300,Brad,Wenstrup,R,R+25@@424,R+24.87,424
OH-03@@301,Joyce,Beatty,D,D+20@@66,D+19.71,66
OH-04@@302,Jim,Jordan,R,R+20@@398,R+20.49,398
OH-05@@303,Bob,Latta,R,R+15@@353,R+15.48,353
OH-06@@304,Bill,Johnson,R,R+16@@360,R+16.11,360
OH-07@@305,Max,Miller,R,R+7@@260,R+6.98,260
OH-08@@306,Warren,Davidson,R,R+14@@333,R+13.74,333
OH-09@@307,Marcy,Kaptur,D,R+3@@234,R+3.22,234
OH-10@@308,Mike,Turner,R,R+4@@239,R+4.12,239
OH-11@@309,Shontel,Brown,D,D+28@@26,D+27.63,26
OH-12@@310,Troy,Balderson,R,R+18@@375,R+17.58,375
OH-13@@311,Emilia,Sykes,D,R+1@@216,R+0.64,216
OH-14@@312,David,Joyce,R,R+9@@288,R+9.45,288
OH-15@@313,Mike,Carey,R,R+6@@253,R+5.92,253
OK-01@@314,Kevin,Hern,R,R+14@@335,R+13.88,335
OK-02@@315,Josh,Brecheen,R,R+29@@432,R+28.89,432
OK-03@@316,Frank,Lucas,R,R+24@@423,R+24.38,423
OK-04@@317,Tom,Cole,R,R+19@@385,R+18.55,385
OK-05@@318,Stephanie,Bice,R,R+12@@318,R+12.4,318
OR-01@@319,Suzanne,Bonamici,D,D+18@@78,D+17.74,78
OR-02@@320,Cliff,Bentz,R,R+15@@352,R+15.21,352
OR-03@@321,Earl,Blumenauer,D,D+22@@55,D+22.18,55
OR-04@@322,Val,Hoyle,D,D+4@@174,D+4.05,174
OR-05@@323,Lori,Chavez-DeRemer,R,D+2@@197,D+1.82,197
OR-06@@324,Andrea,Salinas,D,D+4@@172,D+4.06,172
PA-01@@325,Brian,Fitzpatrick,R,EVEN@@213,R+0.13,213
PA-02@@326,Brendan,Boyle,D,D+20@@62,D+20.46,62
PA-03@@327,Dwight,Evans,D,D+39@@3,D+38.99,3
PA-04@@328,Madeleine,Dean,D,D+7@@151,D+7.01,151
PA-05@@329,Mary,Gay Scanlon,D,D+14@@102,D+13.97,102
PA-06@@330,Chrissy,Houlahan,D,D+5@@166,D+4.76,166
PA-07@@331,Susan,Wild,D,R+2@@225,R+2.12,225
PA-08@@332,Matt,Cartwright,D,R+4@@240,R+4.12,240
PA-09@@333,Dan,Meuser,R,R+21@@400,R+21.03,400
PA-10@@334,Scott,Perry,R,R+5@@246,R+4.85,246
PA-11@@335,Lloyd,Smucker,R,R+13@@330,R+13.42,330
PA-12@@336,Summer,Lee,D,D+8@@143,D+7.85,143
PA-13@@337,John,Joyce,R,R+25@@425,R+25.12,425
PA-14@@338,Guy,Reschenthaler,R,R+18@@381,R+18.07,381
PA-15@@339,Glenn,Thompson,R,R+21@@399,R+20.79,399
PA-16@@340,Mike,Kelly,R,R+13@@321,R+12.71,321
PA-17@@341,Chris,Deluzio,D,EVEN@@209,D+0.37,209
RI-01@@342,David,Cicilline,D,D+12@@112,D+12.39,112
RI-02@@343,Seth,Magaziner,D,D+4@@170,D+4.24,170
SC-01@@344,Nancy,Mace,R,R+7@@264,R+7.24,264
SC-02@@345,Joe,Wilson,R,R+8@@275,R+8.27,275
SC-03@@346,Jeff,Duncan,R,R+21@@401,R+21.15,401
SC-04@@347,William,Timmons,R,R+12@@313,R+12.22,313
SC-05@@348,Ralph,Norman,R,R+12@@309,R+11.53,309
SC-06@@349,Jim,Clyburn,D,D+14@@97,D+14.33,97
SC-07@@350,Russell,Fry,R,R+11@@308,R+11.48,308
SD-AL@@351,Dusty,Johnson,R,R+16@@359,R+16.05,359
TN-01@@352,Diana,Harshbarger,R,R+30@@433,R+30.06,433
TN-02@@353,Tim,Burchett,R,R+18@@377,R+17.82,377
TN-03@@354,Chuck,Fleischmann,R,R+19@@387,R+18.8,387
TN-04@@355,Scott,DesJarlais,R,R+22@@409,R+21.77,409
TN-05@@356,Andy,Ogles,R,R+9@@279,R+8.56,279
TN-06@@357,John,Rose,R,R+17@@372,R+17.3,372
TN-07@@358,Mark,Green,R,R+10@@291,R+10.05,291
TN-08@@359,David,Kustoff,R,R+21@@404,R+21.23,404
TN-09@@360,Steve,Cohen,D,D+22@@53,D+22.39,53
TX-01@@361,Nathaniel,Moran,R,R+26@@427,R+25.53,427
TX-02@@362,Dan,Crenshaw,R,R+15@@348,R+14.84,348
TX-03@@363,Keith,Self,R,R+11@@298,R+10.92,298
TX-04@@364,Pat,Fallon,R,R+16@@364,R+16.39,364
TX-05@@365,Lance,Gooden,R,R+14@@341,R+14.24,341
TX-06@@366,Jake,Ellzey,R,R+15@@351,R+15.12,351
TX-07@@367,Lizzie,Fletcher,D,D+13@@107,D+13.29,107
TX-08@@368,Morgan,Luttrell,R,R+16@@365,R+16.44,365
TX-09@@369,Al,Green,D,D+26@@34,D+25.68,34
TX-10@@370,Michael,McCaul,R,R+13@@319,R+12.59,319
TX-11@@371,August,Pfluger,R,R+23@@417,R+22.83,417
TX-12@@372,Kay,Granger,R,R+12@@314,R+12.26,314
TX-13@@373,Ronny,Jackson,R,R+26@@429,R+26.05,429
TX-14@@374,Randy,Weber,R,R+17@@368,R+16.52,368
TX-15@@375,Monica,De La Cruz,R,R+1@@220,R+1.36,220
