OID_CD118_20|GEOID_CD118_20|NAMELSAD_CD118_20|AREALAND_CD118_20|AREAWATER_CD118_20|MTFCC_CD118_20|FUNCSTAT_CD118_20|OID_SDCOMBO_20|GEOID_SDCOMBO_20|NAMELSAD_SDCOMBO_20|AREALAND_SDCOMBO_20|AREAWATER_SDCOMBO_20|MTFCC_SDCOMBO_20|FUNCSTAT_SDCOMBO_20|AREALAND_PART|AREAWATER_PART
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490694201344|0512420|Shirley School District|229816308|12256392|G5420|E|225964160|12256392
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490299274809|0512520|South Conway County School District|680675121|29776750|G5420|E|680675121|29776750
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490306329045|0512570|South Side-Bee Branch School District|288244097|348401|G5420|E|288244097|348401
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490306329046|0513530|Vilonia School District|282096556|696232|G5420|E|282096556|696232
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490295054905|0514040|West Side School District|383881918|86154699|G5420|E|383881918|86154699
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490299274810|0514370|Wonderview School District|411325579|6306396|G5420|E|402155109|6254741
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490720179568|0502250|Alma School District|260828401|3993374|G5420|E|260828401|3993374
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490715566200|0502280|Alpena School District|326906582|912830|G5420|E|195072049|123659
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490718466862|0503030|Pea Ridge School District|136939316|32277|G5420|E|136939316|32277
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490718466863|0503060|Bentonville Public Schools|366170860|3540566|G5420|E|366170860|3540566
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490719439851|0503150|Berryville Public Schools|557933264|223444|G5420|E|557933264|223444
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490322556487|0503450|Booneville School District|525090839|6981303|G5420|E|6849297|973523
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490720179569|0504080|Cedarville School District|392625854|123073|G5420|E|392625854|123073
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490322556488|0504200|Charleston School District|281050415|2057368|G5420|E|56548109|571562
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490718466864|0504980|Decatur School District|128535042|240508|G5420|E|128535042|240508
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490723662555|0505760|Elkins School District|259475184|1633873|G5420|E|259475184|1633873
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490719439852|0505970|Eureka Springs School District|381083580|19921913|G5420|E|381083580|19921913
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490723662556|0506090|Farmington School District|84970914|448271|G5420|E|84970914|448271
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490723662557|0506120|Fayetteville School District|289498782|4671556|G5420|E|289498782|4671556
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490341814479|0506330|Fort Smith Public Schools|152761785|11255292|G5420|E|152761785|11255292
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490718466865|0506540|Gentry Public Schools|222226821|2345394|G5420|E|222226821|2345394
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490718466866|0506840|Gravette School District|388280180|2089408|G5420|E|388280180|2089408
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490719439853|0506870|Green Forest School District|471987774|2436300|G5420|E|471987774|2436300
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490723662558|0506930|Greenland Public Schools|351086745|1732323|G5420|E|351086745|1732323
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490322556491|0506990|Greenwood School District|474299562|3995680|G5420|E|446573595|3793162
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490341814481|0507170|Hackett Public Schools|311734619|3971827|G5420|E|2347396|9533
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490720759136|0508130|Huntsville School District|1929321634|6403582|G5420|E|1895574211|6397119
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490719439854|0508240|Jasper School District|1580966531|5192277|G5420|E|290520702|1058490
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490341814485|0508730|Lavaca Public Schools|147451366|10745582|G5420|E|147451366|10745582
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490723662559|0508940|Lincoln School District|375425888|2276874|G5420|E|375425888|2276874
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490322556494|0509330|Mansfield School District|396415865|3524763|G5420|E|6111715|33823
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490720179571|0510260|Mountainburg Schools|505720965|3079425|G5420|E|505720965|3079425
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490720179573|0510290|Mulberry School District|312817371|12649812|G5420|E|92983973|4194734
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490723662560|0511760|Prairie Grove School District|270145546|2871364|G5420|E|270145546|2871364
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490718466867|0511970|Rogers Public Schools|594799110|75815550|G5420|E|594799110|75815550
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490718466868|0512450|Siloam Springs Schools|369920319|3751334|G5420|E|369920319|3751334
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490718466869|0512660|Springdale School District|458134819|19761467|G5420|E|458134819|19761467
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490720179575|0513410|Van Buren School District|289579474|16129252|G5420|E|289579474|16129252
2119031807777899|0503|Congressional District 3|10786538519|207821922|G5200|N|28490723662562|0514010|West Fork School District|338375483|1547897|G5420|E|338375483|1547897
2119031807777900|0504|Congressional District 4|58732248715|1125227294|G5200|N|2849086008638|0500001|DeWitt School District|2264096646|124804414|G5420|E|223460137|25638185
2119031807777900|0504|Congressional District 4|58732248715|1125227294|G5200|N|28490287867952|0500006|Warren School District|595902150|2185772|G5420|E|595902150|2185772
2119031807777900|0504|Congressional District 4|58732248715|1125227294|G5200|N|28490308495856|0500015|Sheridan School District|1608230314|4866669|G5420|E|1484997962|2560282
2119031807777900|0504|Congressional District 4|58732248715|1125227294|G5200|N|28490318001464|0500026|Pine Bluff School District|456644588|18354743|G5420|E|456644588|18354743
2119031807777900|0504|Congressional District 4|58732248715|1125227294|G5200|N|28490296221951|0500028|Star City School District|1042584640|12566546|G5420|E|74454792|16778
2119031807777900|0504|Congressional District 4|58732248715|1125227294|G5200|N|28490325779832|0500030|Nevada School District|924654354|2187760|G5420|E|924654354|2187760
